,SMILES,Value
118,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCC[N+](C)(Cc3cccc(O)c3)C2)cc1,0.000316
119,CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,0.0003162
120,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCC[N+](C)(Cc3cccc(O)c3)C2)cc1,0.0003162
121,CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,0.000316228
122,CN1CCC=C(c2nsnc2SCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,0.00032
123,C[C@@H](c1ccccn1)c1c(CCN(C)C)oc2ccccc12,0.00032
124,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,0.00032
125,C[C@@H](c1ccccn1)c1c(CCN(C)C)oc2ccccc12,0.00032
126,C[C@H](CN1[C@@H]2CC[C@H]1C[C@@H](OCC1CC1)C2)Cn1ncc2ccc(F)cc21,0.00032
127,CN1CCC=C(c2nsnc2SCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,0.00032
128,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1O[C@H]12,0.000321
129,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0.0003236
130,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0.0003236
131,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0.0003236
132,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,0.00032900000000000003
133,O=C(Nc1ccc(F)cc1-c1cccc(Cl)c1)OCC1CCNCC1,0.00034
134,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c1cccs1)c1cccs1,0.00034
135,O=C(Nc1ccc(F)cc1-c1cccc(Cl)c1)OCC1CCNCC1,0.00034
136,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c1cccs1)c1cccs1,0.00034
137,CN1CCC[C@@H]1[C@@H]1CS[C@](c2ccccc2)(C2CCCCC2)O1,0.0003467
138,O=C(Nc1ccc(F)cc1-c1ccc(F)c(Cl)c1)O[C@H]1CN2CCC1CC2,0.00035999999999999997
139,O=C(Nc1ccc(F)cc1-c1ccc(F)c(Cl)c1)O[C@H]1CN2CCC1CC2,0.00035999999999999997
140,O=C(O[C@H]1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,0.00035999999999999997
141,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,0.000366
142,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,0.00037
143,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@](O)(c1ccccc1)c1cccs1,0.00038
144,[C][N+]1([C])[C@@H]2[C][C][C@@H]1[C][C]([C]=C(c1cccs1)c1cccs1)[C]2,0.00038
145,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](C=C(c1cccs1)c1cccs1)C2,0.00038
146,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@](O)(c1ccccc1)c1cccs1,0.00038
147,CCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)[nH]c4cc(F)c(C)cc43)CC2)CC1,0.000398
148,CCO[C@H]1CC[C@](C)(N2CCC(N3C(=O)Cc4ccc(C)cc43)CC2)CC1,0.000398
149,CCO[C@H]1CC[C@](C)(N2CCC(N3C(=O)Cc4ccc(C)cc43)CC2)CC1,0.00039810000000000003
150,CCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)[nH]c4cc(F)c(C)cc43)CC2)CC1,0.00039810000000000003
151,O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1ccsc1)c1ccccc1,0.0004
152,C[N@+]12CC[C@H](CC1)[C@@H](OC(=O)Nc1ccccc1-c1ccccc1)C2,0.0004
153,O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1cccs1)c1ccccc1,0.0004
154,O=C(N[C@H]1CN2CCC1CC2)[C@](O)(c1cccs1)C1CCCC1,0.0004
155,O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccsc1)c1ccccc1,0.0004
156,O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1cccs1)c1ccccc1,0.0004
157,COCC[C@H]1C[C@H]2CC[C@@H](C1)N2C[C@@H](C)Cn1ncc2ccc(F)cc21,0.0004
158,C[N@+]12CC[C@H](CC1)[C@@H](OC(=O)Nc1ccccc1-c1ccccc1)C2,0.0004
159,O=C(O[C@H]1CN2CCC1CC2)N(Cc1cccs1)c1ccccc1,0.0004
160,O=C(O[C@H]1CN2CCC1CC2)N(Cc1cccs1)c1ccccc1,0.0004
161,O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccsc1)c1ccccc1,0.0004
162,O=C(N[C@H]1CN2CCC1CC2)[C@](O)(c1cccs1)C1CCCC1,0.0004
163,O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccccc1)c1ccccc1,0.0004
164,O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccccc1)c1ccccc1,0.0004
165,O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1ccsc1)c1ccccc1,0.0004
166,CCCCCCC[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,0.00041
167,CCCCCCC[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,0.00041
168,C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,0.00043
169,C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,0.00043
170,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,0.000433
171,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.000433
172,CN1[C@@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,0.00044
173,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,0.00044
174,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,0.00044
175,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,0.00044
176,CN1CC2CC(OC(=O)C(O)(c3ccccc3)c3ccccc3)CC1C2,0.000449
177,CC(=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)CC1,0.00047860000000000003
178,CC(=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)CC1,0.00047863
179,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0.00047999999999999996
180,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.00049
181,C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC[C@H]1C2,0.0005
182,C(#Cc1ccccc1)COc1nsnc1[C@H]1C[N@@]2CCC[C@H]1C2,0.0005
183,COCC[C@H]1C[C@H]2CC[C@@H](C1)N2C[C@@H](C)Cn1ncc2ccc(C)cc21,0.0005
184,CCCO[C@H]1CC[C@](C)(N2CCC(N3C(=O)Cc4ccc(C)cc43)CC2)CC1,0.000501
185,C[N+](C)(C)C[C@H]1COCC(c2ccccc2)(c2ccccc2)O1,0.000501
186,Cc1scc2c1N(C(=O)CN1CCN(CCCCCCCCCCNC(=O)c3ccc(-c4c5ccc(=N)c(S(=O)(=O)O)c-5oc5c(S(=O)(=O)O)c(N)ccc45)c(C(=O)O)c3)CC1)c1ccccc1NC2=O,0.000501187
187,CCCO[C@H]1CC[C@](C)(N2CCC(N3C(=O)Cc4ccc(C)cc43)CC2)CC1,0.0005011999999999999
188,C[N+](C)(C)C[C@H]1COCC(c2ccccc2)(c2ccccc2)O1,0.0005011999999999999
189,C[N+]1(C)CCC[C@@H]1[C@@H]1CS[C@@](c2ccccc2)(C2CCCCC2)O1,0.0005011999999999999
190,Cc1scc2c1N(C(=O)CN1CCN(CCCCCCCCCCNC(=O)c3ccc(-c4c5ccc(=N)c(S(=O)(=O)O)c-5oc5c(S(=O)(=O)O)c(N)ccc45)c(C(=O)O)c3)CC1)c1ccccc1NC2=O,0.0005011999999999999
191,CN1[C@@H]2CC[C@H]1C[C@@H](CC(O)(c1ccccc1)c1ccccc1)C2,0.0005011999999999999
192,C[N+](C)(C)CC1COCC(c2ccccc2)(C2CCCCC2)O1,0.0005248000000000001
