SMILES,Type,Relation,Value
CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,IC50,,
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',3203
Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,IC50,'=',131
O=C(C1CN(S(=O)(=O)c2ccc(Cl)nc2)C1)N1CCN(c2ccncc2)CC1,IC50,'=',500
CCN(CC)CCOCCC1=CCC2CC1C2(C)C,IC50,,
CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,IC50,,
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,IC50,,
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,IC50,,
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,IC50,,
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,IC50,,
CC(C)(S)[C@@H](N)C(=O)O,IC50,,
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,IC50,,
CC(=O)Nc1cccc(O)c1,IC50,,
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,IC50,,
CN1CCN(C2=Nc3ccccc3Nc3ccc(O)cc32)CC1,IC50,'=',37
Nc1ccc(C(=O)O)c(O)c1,IC50,,
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,IC50,'=',15336
CC12CCC(CC1)C(C)(C)O2,IC50,,
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,IC50,,
CCN1CCN(c2ccc(NC(=O)c3cc(C(F)(F)F)ccc3C(F)(F)F)cc2Cl)CC1,IC50,'=',490
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,IC50,,
CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1,IC50,,
O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,IC50,'=',8020
