SMILES,Type,Relation,Value
CS(=O)(=O)N(Cc1c(F)cccc1-c1cccc(Cl)c1)CC1CCNCC1,EC50,'=',1584.89
O=C(NC[C@H]1CCNC[C@H]1F)c1c(F)cccc1-c1cccc(Cl)c1,EC50,'=',158.49
COCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(C)cc43)CC2)CC1,EC50,'=',2.512
O=C(N[C@H]1CCCC[C@@H]1O)c1cn(Cc2ccc(-n3cccn3)cc2)c2ccccc12,EC50,'=',163
Cc1ccnc2c(C(=O)N[C@H]3CCOC[C@@H]3O)cn(Cc3ccc(-c4ccn(C)n4)cc3)c12,EC50,'=',9
Cc1ccc(C)c(CN2C(=O)C(=O)c3ccccc32)c1,EC50,,
Cn1cc(-c2ccc(Cn3cc4c(=O)[nH]nc-4c4ccccc43)c(F)c2)cn1,EC50,'=',0.6
O=C(NCC1CCNCC1)c1c(Cl)cccc1-c1cccc(Cl)c1,EC50,'=',63.1
O=C(NCC1CCNCC1)c1ccncc1-c1cccc(Cl)c1,EC50,'>',10000
O=C(NCC1CCNCC1)c1sccc1-c1cccc(Cl)c1,EC50,'>',10000
O=C(NCCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,EC50,'=',3162.28
CC[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,EC50,'=',39.81
FC(F)(F)c1ccc2c(c1)C(c1ccccc1)=NCC(=S)N2,EC50,'=',516
CC(C)[C@@H]1N=C(N2CCCCC2)c2cc(Cl)ccc2NC1=S,EC50,'>',10000
CCN(Cc1ccccc1C(F)(F)F)C(=O)C1CCN(S(=O)(=O)c2ccc3[nH]ncc3c2)CC1,EC50,'=',5400
CCCCCCOc1nsnc1OC1CN2CCC1CC2,EC50,'=',258.9
C#CCO[C@H]1CN2CCC1CC2,EC50,'=',820
,,,
CCCSc1nsnc1OC1CN2CCC1C2,EC50,'=',161.7
C(#Cc1ccccc1)COc1nsnc1[C@@H]1CN2CCC[C@H]1C2,EC50,'=',28.3
Cn1cc(-c2cc(F)c(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)c(F)c2)cn1,EC50,'=',2630.27
Fc1cccc(-c2cccc(Cl)c2)c1-c1noc(C2CCNCC2)n1,EC50,'>',10000
O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1,EC50,'=',645.65
Cn1cc(-c2ccc(Cc3cc(C(=O)NC4CCOCC4)nc4c3ccn4C)cn2)cn1,EC50,'=',323.59
Cn1ccc(-c2ccc(Cc3cc(C(=O)N[C@@H]4CCCC[C@H]4O)nc4c3ccn4C)cc2)n1,EC50,'=',181.97
Cn1cc(-c2ccc(Cc3cc(C(=O)NC4CCOCC4)nc4c3ccn4C)cn2)cn1,EC50,'=',320
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccc(-c5cnn(C)c5)cc4F)cc-3c2=O)c(C)c1,EC50,'=',1940
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1ccccc1,EC50,,
CCN(Cc1ccccc1)C(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,EC50,'>',30000
Cc1cc2c(cc1F)[nH]c(=O)n2C1CCN(C2CCOCC2)CC1,EC50,'=',7.943
Cc1ccc2[nH]c(=O)n(C3CCN(C4CCOCC4)CC3)c2c1,EC50,'=',5.012
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,EC50,,
CC(C)NCC(O)COc1cccc2ccccc12,EC50,'>',5011.87
Fc1cccc(C#CCOc2nsnc2C23CN4CC2C3C4)c1,EC50,'=',4.9
C(#Cc1ccccc1)COc1nsnc1C12CN3CC1C2C3,EC50,'=',70.5
O=c1[nH]c2ccccc2n1C1CCN(C2CCN(Cc3ccccc3C(F)(F)F)CC2)CC1,EC50,'=',334
Cn1cc(-c2ccc(CN3Cc4ncccc4C3=O)c(F)c2)cn1,EC50,'=',2600
Clc1ccc(C#CCOc2nsnc2C23CN4CC2C3C4)cc1,EC50,,
CN1CCC=C(c2nsnc2OCCCCCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,EC50,'=',61659.5
C[N+](C)(C)CCOC(N)=O,EC50,'=',18620.87
,,,
CCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)[nH]c4cc(F)c(C)cc43)CC2)CC1,EC50,'=',0.3981
O=C(NCC1CCNCC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,EC50,'>',10000
O=C(NCC1CCNCC1)c1ccccc1-c1cc(F)cc(Cl)c1,EC50,'>',10000
O=C(NCC1CCN2CCCC1C2)c1ccccc1-c1cccc(Cl)c1,EC50,'>',10000
COC(=O)C1=CCCN(C)C1,EC50,'=',5603
O=C(N[C@H]1CCOC[C@@H]1O)c1cc(Cc2ccc(-n3cccn3)cc2)c(CO)cn1,EC50,'=',338
Cc1cnc(C(=O)N[C@@H](CCO)[C@@H](O)CO)cc1Cc1ccc(-n2cccn2)cc1,EC50,'>',300
SC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,EC50,'=',180
CC(=O)c1ccc2c(c1)C(c1ccccc1)=NC(C)C(=S)N2,EC50,'>',10000
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C(=O)C5CCCCC5)C4)c4ccccc43)c(F)c2)cn1,EC50,'=',5000
CCN1CCC2(C1)C(=O)N(Cc1ccc(-c3cnn(C)c3)cc1F)c1ccccc12,EC50,'=',3200
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCCC5)C4)c4ccccc43)c(F)c2)cn1,EC50,'=',5200
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)cc2)cn1,EC50,'=',1800
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)cc2)cn1,EC50,'=',1819.7
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)c(F)c2F)cn1,EC50,'>',10000
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)cc2F)cn1,EC50,'=',1995.26
O=C(NCC12CCN(CC1)CC2)c1ccccc1-c1cccc(Cl)c1,EC50,'>',10000
,,,
O=C(NC[C@@H]1CCCO1)c1cn(Cc2ccc(-n3cccn3)cc2)c2cccnc12,EC50,'=',175
Cn1ccc(-c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@H]4O)c4ncccc43)cc2)n1,EC50,'=',55
Cc1ccc2c(n1)c(C(=O)N[C@H]1CCOC[C@@H]1O)cn2Cc1ccc(-c2ccn(C)n2)cc1,EC50,'=',293
Cn1cc2c(-c3cc(F)c(Cn4cnc5ccccc5c4=O)c(F)c3)cccc2n1,EC50,'>',10000
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1ccccc1C(F)(F)F)C2,EC50,,
O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(F)cccc2c1=O,EC50,'=',380
Cn1cc(-c2ccc(Cc3cc(C(=O)NCC4CCCO4)nn4cccc34)cc2)cn1,EC50,'=',343
O=C(NCC1CCCO1)c1cc(Cc2ccc(Br)cc2)c2cccn2n1,EC50,'=',181
,,,
Cn1cc(-c2ccc(CN3C(=O)C(O)(C(F)(F)F)c4ccccc43)c(F)c2)cn1,EC50,'=',3300
Cn1cc(-c2ccc(CN3C(=O)NCc4ccccc43)c(F)c2)cn1,EC50,'>',10000
Cn1cc(-c2ccc(Cn3cc(C(=O)N[C@H]4CCCC[C@@H]4O)c4c(F)cc(F)cc43)cn2)cn1,EC50,'=',210
CN1CCC2(CC1)C(=O)N(Cc1ccc(-c3cnn(C)c3)cc1F)c1ccccc12,EC50,'=',3800
Cn1cc(-c2ccc(CN3C(=O)C4(CCCO4)c4ccccc43)cc2)cn1,EC50,'>',10000
,,,
Fc1ccccc1C1=NCC(=S)Nc2ccccc21,EC50,'>',10000
CCC[C@]1(C)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'=',104
CCC[C@@]1(C)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'>',10000
CCC1CN(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'=',50
CC(C)C1C(=O)N(c2ccccc2)c2cc(Cl)ccc2NC1=S,EC50,'=',267
CC(C)[C@@H]1N=C(c2ccc(C(F)(F)F)cc2)c2cc(Cl)ccc2NC1=S,EC50,'>',10000
,,,
CCOC(=O)N1C[C@H]2CC[C@@H](C1)[C@H]2NCCNC(=O)c1cccc(Cl)c1,EC50,'=',96
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1cccc(Cl)c1)C2,EC50,'=',440
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1ccc(F)c(F)c1)C2,EC50,'=',810
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1cccs1)C2,EC50,'=',1000
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1ccccc1C)C2,EC50,'=',1100
Cc1nnc2sc(C(=O)N3CC(c4ccccc4)C3)c(N)c2c1C,EC50,'>',10000
CCOC(=O)N1C[C@@H]2C(NCCNC(=O)c3ccccc3C)[C@@H]2C1,EC50,'=',4100
CCOC(=O)N1C[C@H]2CC[C@@H](C1)[C@H]2NCCNC(=O)N1CCOCC1,EC50,'>',10000
,,,
,,,
CCOC(=O)N1C[C@H]2CC[C@@H](C1)[C@H]2NCCNC(=O)c1ccccc1,EC50,'=',92
CCOC(=O)N1C[C@H]2CC[C@@H](C1)[C@H]2NCCNC(=O)N1CCCCC1,EC50,'=',690
CCOC(=O)N1CCC(N2CCC[C@@H](NC(=O)c3ccccc3C)C2)CC1,EC50,'=',890
,,,
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1ccncc1)C2,EC50,'>',10000
Fc1ccc(C#CCSc2nsnc2C23CN4CC2C3C4)cc1,EC50,'=',4.5
,,,
O=c1[nH]nc2c3ccccc3n(Cc3ccc(-n4cccn4)cc3)cc1-2,EC50,'=',1.2
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1cccnc1,EC50,'=',6310
Cc1ccc(Cn2nc3c4ccccc4n(Cc4ccccc4)cc-3c2=O)cc1,EC50,,
O=c1c2cn(Cc3ccccc3)c3ccccc3c-2nn1Cc1ccc(F)cc1,EC50,,
Cn1nc2c3ccccc3n(Cc3ccccc3)cc-2c1=O,EC50,'>',10000
CCCC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1ccccc1)C2,EC50,,
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@@H](NCCNC(=O)c1ccccc1)C2,EC50,'=',210
,,,
Cn1cc(-c2ccc(CN3C(=O)CCc4ccccc43)c(F)c2)cn1,EC50,'=',5600
CN(C)C1(C)C(=O)N(Cc2ccc(-c3cnn(C)c3)cc2)c2ccccc21,EC50,'>',10000
